cantidad QuickSort, MergeSort, Arbol Binario
10000,0.02363133430480957,0.055182695388793945,0.03289055824279785
10000,0.026424407958984375,0.06026411056518555,0.03206300735473633
10000,0.03251504898071289,0.052889108657836914,0.03072214126586914
10000,0.031109094619750977,0.05407881736755371,0.03602766990661621
10000,0.027601242065429688,0.05477190017700195,0.03392457962036133
10000,0.029160499572753906,0.054300785064697266,0.029990196228027344
10000,0.031204938888549805,0.05336356163024902,0.033347368240356445
10000,0.027609586715698242,0.05678224563598633,0.058977365493774414
10000,0.041083335876464844,0.06579422950744629,0.03832745552062988
10000,0.029170513153076172,0.055504798889160156,0.034902334213256836
20000,0.05649709701538086,0.13359713554382324,0.07596135139465332
20000,0.06032204627990723,0.1495065689086914,0.07605147361755371
20000,0.05331897735595703,0.1513514518737793,0.12106180191040039
20000,0.052950382232666016,0.14413714408874512,0.07350921630859375
20000,0.05479145050048828,0.14504361152648926,0.09040260314941406
20000,0.05919194221496582,0.14074444770812988,0.07027935981750488
20000,0.0543360710144043,0.16838455200195312,0.10486149787902832
20000,0.05897164344787598,0.16917109489440918,0.21677017211914062
20000,0.11623692512512207,0.2206559181213379,0.1806330680847168
20000,0.0716407299041748,0.15000295639038086,0.11813235282897949
30000,0.10829806327819824,0.24111723899841309,0.16628193855285645
30000,0.09523749351501465,0.24515771865844727,0.12999272346496582
30000,0.0856325626373291,0.26571154594421387,0.12679028511047363
30000,0.08012938499450684,0.25153613090515137,0.15168190002441406
30000,0.08033990859985352,0.2503187656402588,0.1315443515777588
30000,0.08110284805297852,0.2470543384552002,0.1293652057647705
30000,0.0817716121673584,0.2529304027557373,0.1271507740020752
30000,0.0790097713470459,0.2643411159515381,0.22484636306762695
30000,0.10436367988586426,0.24875473976135254,0.13194990158081055
30000,0.09043192863464355,0.24145126342773438,0.15711426734924316
40000,0.18615245819091797,0.3640437126159668,0.1843864917755127
40000,0.12211155891418457,0.3938584327697754,0.18398523330688477
40000,0.1212620735168457,0.36372923851013184,0.18425965309143066
40000,0.11795735359191895,0.36520910263061523,0.19377470016479492
40000,0.11776399612426758,0.3685030937194824,0.19466662406921387
40000,0.14289140701293945,0.3725094795227051,0.18249917030334473
40000,0.12149834632873535,0.38209033012390137,0.18334007263183594
40000,0.1228947639465332,0.36366868019104004,0.1926267147064209
40000,0.13074326515197754,0.38521647453308105,0.187300443649292
40000,0.11336207389831543,0.3710973262786865,0.19141817092895508
50000,0.1468667984008789,0.5150470733642578,0.2516453266143799
50000,0.14529871940612793,0.5149736404418945,0.25031352043151855
50000,0.14610981941223145,0.5200519561767578,0.24573302268981934
50000,0.14379215240478516,0.5452802181243896,0.4240849018096924
50000,0.2174229621887207,0.5266425609588623,0.2460787296295166
50000,0.1456611156463623,0.5127162933349609,0.24449896812438965
50000,0.15160250663757324,0.5922152996063232,0.24864864349365234
