cantidad,Burbuja, Burbuja Mejorada, Burbuja Bidireccional, Selección, Inserción, QuickSort, MergeSort, Arbol Binario
100,0.058954715728759766,0.06682014465332031,0.06888246536254883,0.07500839233398438,0.06014132499694824,0.01635909080505371,0.005660295486450195,0.0014710426330566406
100,0.0658121109008789,0.07406497001647949,0.08481931686401367,0.06432914733886719,0.06049346923828125,0.022885560989379883,0.009030580520629883,0.0023043155670166016
100,0.06221127510070801,0.0724184513092041,0.07568883895874023,0.07648730278015137,0.05689549446105957,0.01734447479248047,0.00690007209777832,0.001971006393432617
100,0.06082296371459961,0.06877946853637695,0.07516932487487793,0.07017660140991211,0.06465291976928711,0.024535655975341797,0.006940364837646484,0.0015180110931396484
100,0.06247735023498535,0.07140111923217773,0.08570170402526855,0.06667709350585938,0.05894875526428223,0.015792369842529297,0.0058383941650390625,0.001500844955444336
200,0.46608543395996094,0.47542810440063477,0.5287706851959229,0.45829153060913086,0.385972261428833,0.07212448120117188,0.017589330673217773,0.0071926116943359375
200,0.5195004940032959,0.5043020248413086,0.5587973594665527,0.4750523567199707,0.41395115852355957,0.07903313636779785,0.01809072494506836,0.006022930145263672
200,0.49283266067504883,0.5377821922302246,0.609797477722168,0.4833247661590576,0.5428316593170166,0.09714722633361816,0.019116640090942383,0.0060083866119384766
200,0.4903450012207031,0.49448704719543457,0.580817699432373,0.4664485454559326,0.4337310791015625,0.08415555953979492,0.024941682815551758,0.025351285934448242
200,0.47460079193115234,0.4799842834472656,0.5603299140930176,0.46439290046691895,0.4069180488586426,0.07598590850830078,0.017713069915771484,0.007206916809082031
300,1.1086030006408691,1.1458508968353271,1.3899238109588623,1.2071428298950195,0.9428222179412842,0.1353304386138916,0.030611038208007812,0.008858203887939453
300,1.1060748100280762,1.107431411743164,1.2774791717529297,1.0512986183166504,0.9306156635284424,0.12326407432556152,0.03138136863708496,0.008466005325317383
300,1.1211979389190674,1.1201889514923096,1.3343408107757568,1.0577313899993896,0.95060133934021,0.1172935962677002,0.024333953857421875,0.009157896041870117
300,1.0838119983673096,1.1015119552612305,1.237259864807129,1.055222749710083,0.9007256031036377,0.12111186981201172,0.05106329917907715,0.013839006423950195
300,1.090501070022583,1.098738431930542,1.261596918106079,1.111504077911377,0.9150314331054688,0.12492895126342773,0.03040313720703125,0.008136272430419922
400,2.877110004425049,2.7424652576446533,2.92999005317688,2.5015811920166016,2.0884053707122803,0.2309274673461914,0.04322934150695801,0.016248703002929688
400,2.58660626411438,2.5818958282470703,2.9559545516967773,2.5050904750823975,2.158040761947632,0.2213907241821289,0.047478437423706055,0.016257047653198242
400,2.600358486175537,2.596242666244507,2.939155340194702,2.5464019775390625,2.162146806716919,0.22921323776245117,0.04284501075744629,0.01973700523376465
400,2.567962169647217,2.571171522140503,2.9586238861083984,2.5235133171081543,2.1307668685913086,0.23612070083618164,0.04334259033203125,0.016275882720947266
400,2.570650100708008,2.5731101036071777,3.005563259124756,2.506394863128662,2.200193166732788,0.25379276275634766,0.05550336837768555,0.016569852828979492
500,5.088481664657593,5.054486513137817,5.796671628952026,5.538867950439453,4.194271802902222,0.35986924171447754,0.06526064872741699,0.025038719177246094
500,5.174161911010742,5.295315742492676,5.86811637878418,5.1281397342681885,4.545189619064331,0.4081881046295166,0.06625890731811523,0.025820493698120117
500,4.994089841842651,5.022879123687744,5.7594215869903564,4.983366250991821,4.127865314483643,0.37404656410217285,0.0652167797088623,0.02853250503540039
500,4.959547281265259,4.9906394481658936,5.712909936904907,4.932372331619263,4.114905595779419,0.3491933345794678,0.06263232231140137,0.02381300926208496
